symbol,event_type,event_date,broadcast_at,source_url
AEROPLANE,RESULT_FILED,2026-08-03,2026-08-03 23:12:13+05:30,https://www.nseindia.com/api/integrated-filing-results
ATHERENERG,RESULT_FILED,2026-08-03,2026-08-03 16:06:25+05:30,https://www.nseindia.com/api/integrated-filing-results
BLUEJET,RESULT_FILED,2026-08-03,2026-08-03 13:24:07+05:30,https://www.nseindia.com/api/integrated-filing-results
CAMS,RESULT_FILED,2026-08-03,2026-08-03 14:41:13+05:30,https://www.nseindia.com/api/integrated-filing-results
CRIZAC,RESULT_FILED,2026-08-03,2026-08-03 14:01:15+05:30,https://www.nseindia.com/api/integrated-filing-results
DLF,RESULT_FILED,2026-08-03,2026-08-03 17:13:03+05:30,https://www.nseindia.com/api/integrated-filing-results
DOMS,RESULT_FILED,2026-08-03,2026-08-03 19:13:05+05:30,https://www.nseindia.com/api/integrated-filing-results
ESCORTS,RESULT_FILED,2026-08-03,2026-08-03 18:36:07+05:30,https://www.nseindia.com/api/integrated-filing-results
GANECOS,RESULT_FILED,2026-08-03,2026-08-03 20:13:15+05:30,https://www.nseindia.com/api/integrated-filing-results
GESHIP,RESULT_FILED,2026-08-03,2026-08-03 18:38:09+05:30,https://www.nseindia.com/api/integrated-filing-results
GLAXO,RESULT_FILED,2026-08-03,2026-08-03 20:36:08+05:30,https://www.nseindia.com/api/integrated-filing-results
GULFOILLUB,RESULT_FILED,2026-08-03,2026-08-03 18:28:50+05:30,https://www.nseindia.com/api/integrated-filing-results
HUBTOWN,RESULT_FILED,2026-08-03,2026-08-03 18:30:07+05:30,https://www.nseindia.com/api/integrated-filing-results
INOXINDIA,RESULT_FILED,2026-08-03,2026-08-03 18:51:31+05:30,https://www.nseindia.com/api/integrated-filing-results
IREDA,RESULT_FILED,2026-08-03,2026-08-03 20:05:13+05:30,https://www.nseindia.com/api/integrated-filing-results
JAINREC,RESULT_FILED,2026-08-03,2026-08-03 20:11:17+05:30,https://www.nseindia.com/api/integrated-filing-results
JMFINANCIL,RESULT_FILED,2026-08-03,2026-08-03 20:51:20+05:30,https://www.nseindia.com/api/integrated-filing-results
JSL,RESULT_FILED,2026-08-03,2026-08-03 16:34:12+05:30,https://www.nseindia.com/api/integrated-filing-results
KALPATARU,RESULT_FILED,2026-08-03,2026-08-03 20:49:08+05:30,https://www.nseindia.com/api/integrated-filing-results
KANSAINER,RESULT_FILED,2026-08-03,2026-08-03 18:28:17+05:30,https://www.nseindia.com/api/integrated-filing-results
KEI,RESULT_FILED,2026-08-03,2026-08-03 20:52:12+05:30,https://www.nseindia.com/api/integrated-filing-results
KIMS,RESULT_FILED,2026-08-03,2026-08-03 19:01:09+05:30,https://www.nseindia.com/api/integrated-filing-results
MOBIKWIK,RESULT_FILED,2026-08-03,2026-08-03 12:35:49+05:30,https://www.nseindia.com/api/integrated-filing-results
NAZARA,RESULT_FILED,2026-08-03,2026-08-03 22:49:26+05:30,https://www.nseindia.com/api/integrated-filing-results
NOCIL,RESULT_FILED,2026-08-03,2026-08-03 15:22:16+05:30,https://www.nseindia.com/api/integrated-filing-results
PARKHOSPS,RESULT_FILED,2026-08-03,2026-08-03 11:28:33+05:30,https://www.nseindia.com/api/integrated-filing-results
RBA,RESULT_FILED,2026-08-03,2026-08-03 18:34:07+05:30,https://www.nseindia.com/api/integrated-filing-results
SAMBHV,RESULT_FILED,2026-08-03,2026-08-03 20:17:26+05:30,https://www.nseindia.com/api/integrated-filing-results
SAMHI,RESULT_FILED,2026-08-03,2026-08-03 21:23:04+05:30,https://www.nseindia.com/api/integrated-filing-results
SANATHAN,RESULT_FILED,2026-08-03,2026-08-03 18:24:05+05:30,https://www.nseindia.com/api/integrated-filing-results
SBIFUNDS,RESULT_FILED,2026-08-03,2026-08-03 21:33:45+05:30,https://www.nseindia.com/api/integrated-filing-results
STOVEKRAFT,RESULT_FILED,2026-08-03,2026-08-03 16:54:59+05:30,https://www.nseindia.com/api/integrated-filing-results
SUNDARMFIN,RESULT_FILED,2026-08-03,2026-08-03 15:15:54+05:30,https://www.nseindia.com/api/integrated-filing-results
TEXRAIL,RESULT_FILED,2026-08-03,2026-08-03 19:08:01+05:30,https://www.nseindia.com/api/integrated-filing-results
THOMASCOOK,RESULT_FILED,2026-08-03,2026-08-03 18:21:36+05:30,https://www.nseindia.com/api/integrated-filing-results
TORNTPOWER,RESULT_FILED,2026-08-03,2026-08-03 18:40:30+05:30,https://www.nseindia.com/api/integrated-filing-results
UNIMECH,RESULT_FILED,2026-08-03,2026-08-03 19:18:27+05:30,https://www.nseindia.com/api/integrated-filing-results
UPL,RESULT_FILED,2026-08-03,2026-08-03 17:03:14+05:30,https://www.nseindia.com/api/integrated-filing-results
AGARWALEYE,RESULT_FILED,2026-08-04,2026-08-04 17:20:12+05:30,https://www.nseindia.com/api/integrated-filing-results
AJMERA,RESULT_FILED,2026-08-04,2026-08-04 18:11:10+05:30,https://www.nseindia.com/api/integrated-filing-results
ALKYLAMINE,RESULT_FILED,2026-08-04,2026-08-04 18:36:18+05:30,https://www.nseindia.com/api/integrated-filing-results
APLLTD,RESULT_FILED,2026-08-04,2026-08-04 16:22:04+05:30,https://www.nseindia.com/api/integrated-filing-results
ASKAUTOLTD,RESULT_FILED,2026-08-04,2026-08-04 18:39:02+05:30,https://www.nseindia.com/api/integrated-filing-results
AVALON,RESULT_FILED,2026-08-04,2026-08-04 22:48:15+05:30,https://www.nseindia.com/api/integrated-filing-results
BASF,RESULT_FILED,2026-08-04,2026-08-04 15:55:12+05:30,https://www.nseindia.com/api/integrated-filing-results
BBL,RESULT_FILED,2026-08-04,2026-08-04 16:01:13+05:30,https://www.nseindia.com/api/integrated-filing-results
BHARATSE,RESULT_FILED,2026-08-04,2026-08-04 15:11:36+05:30,https://www.nseindia.com/api/integrated-filing-results
BHARTIARTL,RESULT_FILED,2026-08-04,2026-08-04 20:21:35+05:30,https://www.nseindia.com/api/integrated-filing-results
BHARTIHEXA,RESULT_FILED,2026-08-04,2026-08-04 18:20:11+05:30,https://www.nseindia.com/api/integrated-filing-results
BSE,RESULT_FILED,2026-08-04,2026-08-04 19:01:27+05:30,https://www.nseindia.com/api/integrated-filing-results
CAPILLARY,RESULT_FILED,2026-08-04,2026-08-04 17:20:32+05:30,https://www.nseindia.com/api/integrated-filing-results
CASTROLIND,RESULT_FILED,2026-08-04,2026-08-04 22:54:27+05:30,https://www.nseindia.com/api/integrated-filing-results
DEEDEV,RESULT_FILED,2026-08-04,2026-08-04 14:56:13+05:30,https://www.nseindia.com/api/integrated-filing-results
DEEPAKNTR,RESULT_FILED,2026-08-04,2026-08-04 18:36:19+05:30,https://www.nseindia.com/api/integrated-filing-results
