symbol,company_name,industry,listing_date,ipo_age_days,liquidity_rank,top_1000_liquid,recent_ipo_overlay,history_sessions,scan_date,price_date,latest_open,latest_high,latest_low,latest_close,latest_volume,previous_close,return_20d,return_63d,return_126d,return_189d,return_252d,sma20,sma50,sma150,sma200,momentum_eligibility,vcp_eligibility,nr7,three_close_band_pct,atr14_pct,atr14_average_50_pct,atr_contraction,average_volume_20d,volume_ratio_20d,daily_close_position,daily_range,median_range_20d,distance_from_20d_high_pct,accumulation_day,volume_dry_up,gap_pct,gap_and_hold,daily_inside_bar,double_inside_bar,weekly_inside_bar,ipo_base_depth_pct,prior_20_high,ipo_base,ipo_momentum,ipo_breakout,resistance_price,resistance_touches,resistance_dispersion_pct,distance_to_resistance_pct,horizontal_resistance,pole_gain_pct,consolidation_sessions,consolidation_depth_pct,consolidation_volume_ratio,flags_pennants,rs_line_eligibility,rs_line_distance_from_high_pct,price_distance_from_high_pct,rs_high_before_price_high,history_status,series,isin,yahoo_symbol,median_traded_value_60d,weighted_momentum,rs_rating,is_high_rs,vcp_stars,vcp_trend_template,vcp_range_position,vcp_contracting_ranges,vcp_contracting_volatility,vcp_pivot_readiness,close,sma200_20d_ago,high_252,low_252,pct_below_high,pct_above_low,range_60_pct,range_30_pct,range_15_pct,atr_50_pct,atr_20_pct,atr_10_pct,pivot_55,distance_to_pivot_pct,avg_volume_10,avg_volume_50,volume_ratio,live_price,breakout_pct,is_breakout,quote_status,quote_timestamp,breakout_reason,benchmark_status
360ONE,360 ONE WAM LIMITED,,2019-09-19,2520.0,202,True,False,498,2026-08-13,2026-08-12,1159.0,1162.5,1140.5,1161.0,917521.0,1168.0,5.679958656542072,6.143714405925627,0.45935414526212526,8.667374441233623,11.059677467381546,1138.7150024414063,1116.136005859375,1092.3488521321615,1101.5484719848632,ELIGIBLE,ELIGIBLE,False,1.2575345035260552,2.8042323536225697,2.841594404430485,True,1233532.85,0.7438156186922787,0.9318181818181818,22.0,30.49993896484375,3.007518796992481,False,False,-0.7705479452054798,False,False,False,False,13.842936605837512,1197.0,False,False,False,1159.5499877929688,4.0,1.5523263498333804,-0.1250495642530369,True,11.830375522812853,5,4.720133667502088,0.6362008687050059,False,ELIGIBLE,1.848526530922138,5.537970671604288,False,COMPLETE,,,,,0.0649476697314571,52.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
3BBLACKBIO,3B Blackbio Dx Limited,,2026-04-20,115.0,1369,False,True,80,2026-08-13,2026-08-12,1216.800048828125,1270.0,1190.0,1251.0999755859375,5704.0,1208.0,-1.503698340431836,-3.075617581377521,,,,1253.4399963378905,1217.4599951171874,,,NOT ELIGIBLE,NOT ELIGIBLE,False,3.567878773670323,3.5443113207982426,4.939629685638938,True,10144.8,0.5622584969639619,0.7637496948242187,80.0,40.25006103515625,5.35593066953058,False,False,0.7284808632553874,False,False,False,False,24.731182795698924,1321.9000244140625,False,False,False,1319.4000244140625,3.0,1.2050950522851176,5.176599027156804,False,13.349989188400158,20,10.129360915430365,0.55285598568887,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
3MINDIA,3M India Limited,,2004-08-13,8035.0,764,True,False,497,2026-08-13,2026-08-12,36280.0,36300.0,35760.0,35935.0,2184.0,36115.0,1.462350657985012,16.676021479266968,-0.08107030176747188,2.46043554728983,18.227411338694722,35471.2,33992.0773046875,33325.5221484375,33477.11322265625,ELIGIBLE,ELIGIBLE,False,0.5988857938718662,2.302768888270488,2.4560969206627186,True,3732.65,0.5851070954951576,0.32407407407407407,540.0,742.5,1.977632296781233,False,False,0.4568738751211443,False,True,False,False,17.18409167897127,36660.0,False,False,False,36474.25815822433,4.0,1.7272455474408206,1.478462305895413,True,16.291933238949554,15,5.932896890343699,0.7226365975249451,True,ELIGIBLE,1.798871387936911,4.140356144373238,False,COMPLETE,,,,,0.10791763908550203,59.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
63MOONS,63 moons technologies limited,,2005-06-20,7724.0,723,True,False,499,2026-08-13,2026-08-12,858.0,880.0,826.0,867.4000244140625,382822.0,858.6500244140625,20.514070776528314,34.28284047095196,19.666145220311783,20.196770604745762,-8.063931923944912,798.370004272461,721.3450036621093,661.8420035807292,687.1787524414062,ELIGIBLE,ELIGIBLE,False,1.0190414896885314,5.617773411266025,4.364542790352822,False,1594471.85,0.24009329484242697,0.7666671187789352,54.0,35.350006103515625,9.452475248092505,False,False,-0.07570306825601669,False,False,False,False,37.71595419270008,957.9500122070312,False,False,False,738.75,2.0,1.123526068104907,-17.414554912225043,False,37.0064891627291,7,8.739363354278105,0.24383095646540145,True,ELIGIBLE,11.642657709604563,15.66947538308528,False,COMPLETE,,,,,0.20072932968603308,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AADHARHFC,Aadhar Housing Finance Limited,,2024-05-15,820.0,641,True,False,499,2026-08-13,2026-08-12,498.20001220703125,506.0,496.1000061035156,502.0,240315.0,501.54998779296875,-2.28710462287105,8.154692793544882,6.007816057524495,1.9392806490486691,-0.6530749797525881,503.63999938964844,504.77499816894533,484.7506658935547,486.4559996032715,ELIGIBLE,ELIGIBLE,True,0.089724298272141,2.665765596236705,2.9895394289173423,True,282925.6,0.849392914603698,0.5959593468617738,9.899993896484375,11.67498779296875,4.28067722080039,False,False,-0.6679245673355094,False,True,False,False,20.10657410426843,524.4500122070312,False,False,False,521.125,4.0,1.6406788760793953,3.669944830894699,True,14.170624420448918,18,7.121747589696191,0.4322627014155521,False,ELIGIBLE,10.257685823832393,10.8348134991119,False,COMPLETE,,,,,0.047206814627820684,49.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARNAV,Aarnav Fashions Limited,,2026-02-25,169.0,1692,False,True,113,2026-08-13,2026-08-12,32.0,33.400001525878906,31.209999084472656,33.150001525878906,97252.0,31.799999237060547,26.865681555981922,49.66140901486173,,,,30.54400005340576,27.18299991607666,,,NOT ELIGIBLE,NOT ELIGIBLE,False,8.262575497397826,6.27020018142867,6.307303040155965,True,177490.2,0.5479288433952972,0.8858448761182799,2.19000244140625,2.0550012588500977,11.363635900012504,False,False,0.6289332318799801,False,False,False,True,41.84492215875954,37.400001525878906,False,True,False,25.494999885559082,4.0,0.8236873324781,-30.02550176380186,False,29.693962839358967,8,10.598804652103052,0.4115829762359941,True,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARTIDRUGS,Aarti Drugs Limited,,2003-09-19,8364.0,975,True,False,499,2026-08-13,2026-08-12,444.45001220703125,444.45001220703125,420.8500061035156,432.0,264903.0,439.3500061035156,2.4667916854656857,17.471108089734866,13.833992094861669,-8.554897096468682,-14.200216199965876,416.71499786376955,394.6560009765625,378.0455841064453,391.5661344909668,ELIGIBLE,ELIGIBLE,False,3.975865293073481,3.0133933617324424,3.010964321172604,False,254783.75,1.0397170149195152,0.47245724630653346,23.600006103515625,10.875,4.772400349998584,False,False,1.1608071088347716,False,False,False,False,19.541495666086767,453.6499938964844,False,False,False,434.0,3.0,1.8548358969974077,0.4608294930875576,True,16.100076074003745,16,11.605862361919982,1.0823455401746345,False,ELIGIBLE,14.312974760028826,18.750620844667377,False,COMPLETE,,,,,0.05204218995579368,51.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARTIIND,Aarti Industries Limited,,1995-02-08,11509.0,422,True,False,499,2026-08-13,2026-08-12,510.0,534.0,503.25,530.9000244140625,5378998.0,505.29998779296875,6.0315581127935,13.865956978887395,13.488678552300337,37.34317453876257,40.65671319343232,492.8875030517578,479.19600158691406,450.13500142415364,432.0352508544922,ELIGIBLE,ELIGIBLE,False,6.063337800668722,2.8966988527204323,3.2422279318006453,True,1476969.35,3.6419157919560075,0.8991877858231707,30.75,12.70001220703125,0.5805197726474719,True,False,0.9301429488569379,False,False,False,True,20.59925093632959,516.9500122070312,False,False,False,504.84999084472656,4.0,1.960977335053424,-5.159955242496573,False,17.973587191647454,19,12.172284644194757,0.9440428018758654,False,ELIGIBLE,0.0,0.5805197726474719,True,COMPLETE,,,,,0.23844096048454,74.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARTIPHARM,Aarti Pharmalabs Limited,,2023-01-30,1291.0,750,True,False,499,2026-08-13,2026-08-12,875.5,930.9500122070312,875.0999755859375,888.7000122070312,3552033.0,883.7000122070312,23.731293032653156,24.86125917907007,16.507539423470764,15.427864704433958,6.632468705166894,711.9300018310547,689.9289990234375,703.1533162434896,714.5901550292969,ELIGIBLE,ELIGIBLE,False,7.982990547634417,4.274704234001539,3.4792258552879587,False,1026280.95,3.4610727208762864,0.2435098962129814,55.85003662109375,22.149993896484375,4.7072661943106535,False,False,-0.9279180823537403,False,True,False,False,35.21873898458074,932.5999755859375,False,False,False,741.4000244140625,3.0,1.159964297645413,-19.867815341573767,False,18.454692655991202,20,30.216598238265917,4.91585650807821,False,ELIGIBLE,2.7500937066654574,5.867914863696301,False,COMPLETE,,,,,0.17658078238242353,68.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AASTHA,Aastha Spintex Limited,,2026-07-06,38.0,,False,True,28,2026-08-13,2026-08-12,73.0,76.58000183105469,73.0,74.19000244140625,977862.0,73.12000274658203,-42.34534763431837,,,,,91.36500091552735,,,,NOT ELIGIBLE,NOT ELIGIBLE,False,1.4633474488952143,8.6515322899389,,False,6015380.6,0.1625602875402431,0.33240274658062646,3.5800018310546875,5.2050018310546875,47.01092396815718,False,False,-0.16411753565974685,False,False,False,True,50.00356921192346,140.00999450683594,False,False,False,140.00999450683594,1.0,0.0,47.01092396815718,False,4.756880018034582,16,50.00356921192346,3.3210133994844315,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
