symbol,company_name,industry,series,isin,listing_date,yahoo_symbol,median_traded_value_60d,liquidity_rank,top_1000_liquid,recent_ipo_overlay
HDFCBANK,HDFC Bank Limited,,EQ,INE040A01034,1995-11-08,HDFCBANK.NS,24233629107.8042,1,True,False
ICICIBANK,ICICI Bank Limited,,EQ,INE090A01021,1997-09-17,ICICIBANK.NS,17696690261.90039,2,True,False
RELIANCE,Reliance Industries Limited,,EQ,INE002A01018,1995-11-29,RELIANCE.NS,16679529118.276978,3,True,False
INFY,Infosys Limited,,EQ,INE009A01021,1995-02-08,INFY.NS,11827751119.362183,4,True,False
BSE,BSE Limited,,EQ,INE118H01025,2017-02-03,BSE.NS,11718032051.44336,5,True,False
SBIN,State Bank of India,,EQ,INE062A01020,1995-03-01,SBIN.NS,11199969623.730286,6,True,False
BHARTIARTL,Bharti Airtel Limited,,EQ,INE397D01024,2002-02-15,BHARTIARTL.NS,10924418449.295105,7,True,False
TCS,Tata Consultancy Services Limited,,EQ,INE467B01029,2004-08-25,TCS.NS,8631717402.217285,8,True,False
AXISBANK,Axis Bank Limited,,EQ,INE238A01034,1998-11-16,AXISBANK.NS,8156049801.835571,9,True,False
BAJFINANCE,Bajaj Finance Limited,,EQ,INE296A01032,2003-04-01,BAJFINANCE.NS,8072215368.356842,10,True,False
ETERNAL,ETERNAL LIMITED,,EQ,INE758T01015,2021-07-23,ETERNAL.NS,7933917768.090836,11,True,False
M&M,Mahindra & Mahindra Limited,,EQ,INE101A01026,1996-01-03,M&M.NS,7562155611.058594,12,True,False
MCX,Multi Commodity Exchange of India Limited,,EQ,INE745G01043,2012-03-09,MCX.NS,7292093166.341675,13,True,False
LT,Larsen & Toubro Limited,,EQ,INE018A01030,2004-06-23,LT.NS,6514795320.75,14,True,False
HSCL,Himadri Speciality Chemical Limited,,EQ,INE019C01026,2007-03-02,HSCL.NS,6240131960.759491,15,True,False
DIXON,Dixon Technologies (India) Limited,,EQ,INE935N01020,2017-09-18,DIXON.NS,5892700099.0,16,True,False
HFCL,HFCL Limited,,EQ,INE548A01028,2011-03-09,HFCL.NS,5834850999.3932495,17,True,False
